20250417194221,10.0.4.20,37318,10.0.2.20,5001,1,13.0-14.0,5767168,46137344,,,,,,,,
20250417194222,10.0.4.20,37318,10.0.2.20,5001,1,14.0-15.0,5898240,47185920,,,,,,,,
20250417194223,10.0.4.20,37318,10.0.2.20,5001,1,15.0-16.0,5767168,46137344,,,,,,,,
20250417194224,10.0.4.20,37318,10.0.2.20,5001,1,16.0-17.0,5898240,47185920,,,,,,,,
20250417194224,10.0.4.20,37318,10.0.2.20,5001,1,17.0-17.9,5373892,45636889,,,,,,,,
20250417194224,10.0.4.20,37318,10.0.2.20,5001,1,0.0-17.9,104857600,46753961,,,,,,,,
,,,,,,,,,,,,,,,,
Buffer=64000,Delay=10000,Repeticao=4,,,,,,,,,,,,,,
20250417194251,10.0.4.20,34982,10.0.2.20,5001,1,0.0-1.0,6029372,48234976,,,,,,,,
20250417194252,10.0.4.20,34982,10.0.2.20,5001,1,1.0-2.0,5767168,46137344,,,,,,,,
20250417194253,10.0.4.20,34982,10.0.2.20,5001,1,2.0-3.0,5898240,47185920,,,,,,,,
20250417194254,10.0.4.20,34982,10.0.2.20,5001,1,3.0-4.0,5767168,46137344,,,,,,,,
20250417194255,10.0.4.20,34982,10.0.2.20,5001,1,4.0-5.0,5898240,47185920,,,,,,,,
20250417194256,10.0.4.20,34982,10.0.2.20,5001,1,5.0-6.0,5898240,47185920,,,,,,,,
20250417194257,10.0.4.20,34982,10.0.2.20,5001,1,6.0-7.0,5767168,46137344,,,,,,,,
20250417194258,10.0.4.20,34982,10.0.2.20,5001,1,7.0-8.0,5898240,47185920,,,,,,,,
20250417194259,10.0.4.20,34982,10.0.2.20,5001,1,8.0-9.0,5767168,46137344,,,,,,,,
20250417194300,10.0.4.20,34982,10.0.2.20,5001,1,9.0-10.0,5898240,47185920,,,,,,,,
20250417194301,10.0.4.20,34982,10.0.2.20,5001,1,10.0-11.0,5898240,47185920,,,,,,,,
20250417194302,10.0.4.20,34982,10.0.2.20,5001,1,11.0-12.0,5767168,46137344,,,,,,,,
20250417194303,10.0.4.20,34982,10.0.2.20,5001,1,12.0-13.0,5898240,47185920,,,,,,,,
20250417194304,10.0.4.20,34982,10.0.2.20,5001,1,13.0-14.0,5898240,47185920,,,,,,,,
20250417194305,10.0.4.20,34982,10.0.2.20,5001,1,14.0-15.0,5767168,46137344,,,,,,,,
20250417194306,10.0.4.20,34982,10.0.2.20,5001,1,15.0-16.0,5898240,47185920,,,,,,,,
20250417194307,10.0.4.20,34982,10.0.2.20,5001,1,16.0-17.0,5898240,47185920,,,,,,,,
20250417194307,10.0.4.20,34982,10.0.2.20,5001,1,17.0-17.9,5242820,45710026,,,,,,,,
20250417194307,10.0.4.20,34982,10.0.2.20,5001,1,0.0-17.9,104857600,46817753,,,,,,,,
,,,,,,,,,,,,,,,,
Buffer=64000,Delay=10000,Repeticao=5,,,,,,,,,,,,,,
20250417194340,10.0.4.20,57916,10.0.2.20,5001,1,0.0-1.0,6422588,51380704,,,,,,,,
20250417194341,10.0.4.20,57916,10.0.2.20,5001,1,1.0-2.0,5898240,47185920,,,,,,,,
20250417194342,10.0.4.20,57916,10.0.2.20,5001,1,2.0-3.0,5767168,46137344,,,,,,,,
20250417194343,10.0.4.20,57916,10.0.2.20,5001,1,3.0-4.0,5898240,47185920,,,,,,,,
20250417194344,10.0.4.20,57916,10.0.2.20,5001,1,4.0-5.0,5898240,47185920,,,,,,,,
20250417194345,10.0.4.20,57916,10.0.2.20,5001,1,5.0-6.0,5767168,46137344,,,,,,,,
20250417194346,10.0.4.20,57916,10.0.2.20,5001,1,6.0-7.0,5898240,47185920,,,,,,,,
20250417194347,10.0.4.20,57916,10.0.2.20,5001,1,7.0-8.0,5898240,47185920,,,,,,,,
20250417194348,10.0.4.20,57916,10.0.2.20,5001,1,8.0-9.0,5767168,46137344,,,,,,,,
20250417194349,10.0.4.20,57916,10.0.2.20,5001,1,9.0-10.0,5898240,47185920,,,,,,,,
20250417194350,10.0.4.20,57916,10.0.2.20,5001,1,10.0-11.0,5767168,46137344,,,,,,,,
20250417194351,10.0.4.20,57916,10.0.2.20,5001,1,11.0-12.0,5898240,47185920,,,,,,,,
20250417194352,10.0.4.20,57916,10.0.2.20,5001,1,12.0-13.0,5767168,46137344,,,,,,,,
20250417194353,10.0.4.20,57916,10.0.2.20,5001,1,13.0-14.0,5898240,47185920,,,,,,,,
20250417194354,10.0.4.20,57916,10.0.2.20,5001,1,14.0-15.0,5898240,47185920,,,,,,,,
20250417194355,10.0.4.20,57916,10.0.2.20,5001,1,15.0-16.0,5767168,46137344,,,,,,,,
20250417194356,10.0.4.20,57916,10.0.2.20,5001,1,16.0-17.0,5898240,47185920,,,,,,,,
20250417194356,10.0.4.20,57916,10.0.2.20,5001,1,17.0-17.9,4849604,45476086,,,,,,,,
20250417194356,10.0.4.20,57916,10.0.2.20,5001,1,0.0-17.9,104857600,46986774,,,,,,,,
,,,,,,,,,,,,,,,,
Buffer=64000,Delay=10000,Repeticao=6,,,,,,,,,,,,,,
20250417194424,10.0.4.20,37720,10.0.2.20,5001,1,0.0-1.0,6029372,48234976,,,,,,,,
20250417194425,10.0.4.20,37720,10.0.2.20,5001,1,1.0-2.0,5767168,46137344,,,,,,,,
20250417194426,10.0.4.20,37720,10.0.2.20,5001,1,2.0-3.0,5898240,47185920,,,,,,,,
20250417194427,10.0.4.20,37720,10.0.2.20,5001,1,3.0-4.0,5898240,47185920,,,,,,,,
20250417194428,10.0.4.20,37720,10.0.2.20,5001,1,4.0-5.0,5767168,46137344,,,,,,,,
20250417194429,10.0.4.20,37720,10.0.2.20,5001,1,5.0-6.0,5898240,47185920,,,,,,,,
20250417194430,10.0.4.20,37720,10.0.2.20,5001,1,6.0-7.0,5767168,46137344,,,,,,,,
20250417194431,10.0.4.20,37720,10.0.2.20,5001,1,7.0-8.0,5898240,47185920,,,,,,,,
20250417194432,10.0.4.20,37720,10.0.2.20,5001,1,8.0-9.0,5898240,47185920,,,,,,,,
20250417194433,10.0.4.20,37720,10.0.2.20,5001,1,9.0-10.0,5767168,46137344,,,,,,,,
20250417194434,10.0.4.20,37720,10.0.2.20,5001,1,10.0-11.0,5898240,47185920,,,,,,,,
20250417194435,10.0.4.20,37720,10.0.2.20,5001,1,11.0-12.0,5898240,47185920,,,,,,,,
20250417194436,10.0.4.20,37720,10.0.2.20,5001,1,12.0-13.0,5767168,46137344,,,,,,,,
20250417194437,10.0.4.20,37720,10.0.2.20,5001,1,13.0-14.0,5898240,47185920,,,,,,,,
20250417194438,10.0.4.20,37720,10.0.2.20,5001,1,14.0-15.0,5767168,46137344,,,,,,,,
20250417194439,10.0.4.20,37720,10.0.2.20,5001,1,15.0-16.0,5898240,47185920,,,,,,,,
20250417194440,10.0.4.20,37720,10.0.2.20,5001,1,16.0-17.0,5767168,46137344,,,,,,,,
20250417194440,10.0.4.20,37720,10.0.2.20,5001,1,17.0-17.9,5373892,46188736,,,,,,,,
20250417194440,10.0.4.20,37720,10.0.2.20,5001,1,0.0-17.9,104857600,46783308,,,,,,,,
,,,,,,,,,,,,,,,,
